abbr;time;rre150h0
SMA;201804010000;0.0
SMA;201804010100;0.0
SMA;201804010200;0.0
SMA;201804010300;0.0
SMA;201804010400;0.0
SMA;201804010500;0.0
SMA;201804010600;0.0
SMA;201804010700;0.4
SMA;201804010800;0.0
SMA;201804010900;0.0
SMA;201804011000;0.6
SMA;201804011100;0.1
SMA;201804011200;0.1
SMA;201804011300;0.0
SMA;201804011400;0.0
SMA;201804011500;0.0
SMA;201804011600;0.1
SMA;201804011700;0.1
SMA;201804011800;0.0
SMA;201804011900;0.0
SMA;201804012000;0.0
SMA;201804012100;0.0
SMA;201804012200;0.0
SMA;201804012300;0.0
SMA;201804020000;0.0
SMA;201804020100;0.0
SMA;201804020200;0.0
SMA;201804020300;0.0
SMA;201804020400;0.0
SMA;201804020500;0.0
SMA;201804020600;0.0
SMA;201804020700;0.0
SMA;201804020800;0.0
SMA;201804020900;0.0
SMA;201804021000;0.0
SMA;201804021100;0.0
SMA;201804021200;0.0
SMA;201804021300;0.0
SMA;201804021400;0.0
SMA;201804021500;0.0
SMA;201804021600;0.0
SMA;201804021700;0.0
SMA;201804021800;0.0
SMA;201804021900;0.0
SMA;201804022000;0.0
SMA;201804022100;0.0
SMA;201804022200;0.0
SMA;201804022300;0.0
SMA;201804030000;0.0
SMA;201804030100;0.0
SMA;201804030200;0.0
SMA;201804030300;0.0
SMA;201804030400;0.0
SMA;201804030500;0.0
SMA;201804030600;0.0
SMA;201804030700;0.0
SMA;201804030800;0.0
SMA;201804030900;0.0
SMA;201804031000;0.0
SMA;201804031100;0.0
SMA;201804031200;0.0
SMA;201804031300;0.0
SMA;201804031400;0.0
SMA;201804031500;0.0
SMA;201804031600;0.0
SMA;201804031700;0.0
SMA;201804031800;0.0
SMA;201804031900;0.0
SMA;201804032000;0.0
SMA;201804032100;0.0
SMA;201804032200;0.0
SMA;201804032300;0.0
SMA;201804040000;0.0
SMA;201804040100;0.0
SMA;201804040200;0.0
SMA;201804040300;0.0
SMA;201804040400;0.0
SMA;201804040500;0.0
SMA;201804040600;0.0
SMA;201804040700;0.0
SMA;201804040800;0.0
SMA;201804040900;0.0
SMA;201804041000;0.0
SMA;201804041100;0.0
SMA;201804041200;0.0
SMA;201804041300;0.0
SMA;201804041400;0.1
SMA;201804041500;0.4
SMA;201804041600;1.5
SMA;201804041700;0.4
SMA;201804041800;0.0
SMA;201804041900;0.0
SMA;201804042000;0.0
SMA;201804042100;0.0
SMA;201804042200;0.4
SMA;201804042300;0.0
SMA;201804050000;0.0
SMA;201804050100;0.0
SMA;201804050200;0.0
SMA;201804050300;0.0
SMA;201804050400;0.0
SMA;201804050500;0.0
SMA;201804050600;0.0
SMA;201804050700;0.0
SMA;201804050800;0.1
SMA;201804050900;0.0
SMA;201804051000;0.0
SMA;201804051100;0.0
SMA;201804051200;0.0
SMA;201804051300;0.0
SMA;201804051400;0.0
SMA;201804051500;0.0
SMA;201804051600;0.0
SMA;201804051700;0.0
SMA;201804051800;0.0
SMA;201804051900;0.0
SMA;201804052000;0.0
SMA;201804052100;0.0
SMA;201804052200;0.0
