,0
0,/sedrun/
1,/arosa-lenzerheide/
2,/corvatsch-furtschellas/
3,/davos-jakobshorn/
4,/davos-parsenn/
5,/laax/
6,/pizmundaun/
7,/samnaun/
8,/scuol/
9,/st-moritz-corviglia/
10,/aletsch-arena/
11,/anzere/
12,/belalp/
13,/champery/
14,/crans-montana/
15,/graechen/
16,/grimentz-zinal/
17,/morgins/
18,/nendaz-4-vallees/
19,/portes-du-soleil/
20,/saas-fee/
21,/funiluc/
22,/thyon-4-vallees/
23,/valdilliez-lescrosets-champoussin/
24,/verbier/
25,/vercorin/
26,/veysonnaz-4-vallees/
27,/zermatt/
28,/adelboden/
29,/gstaad/
30,/gstaad-saanen-rougemont/
31,/schoenried-saanenmoeser-zweisimmen-st-stephan/
32,/jungfrau-grindelwald-wengen/
33,/muerren-schilthorn/
34,/lenk/
35,/meiringen-hasliberg/
36,/andermatt-gemsstock-naetschen/
37,/engelberg/
38,/ybrig/
39,/klewenalp/
40,/melchsee-frutt/
41,/mythenregion/
42,/soerenberg/
43,/flumserberg/
44,/pizol/
45,/toggenburg/
46,/fribourg-region/
47,/les-paccots-chatel-saint-denis/
48,/espace-dole-les-tuffes/
49,/les-diablerets/
50,/diablerets/
51,/leysin-mosses-lecherette/
52,/vallee-de-joux/
53,/villars/
