,offen,titel,totallifte
0,0,Arosa Lenzerheide,43
1,0,Corvatsch - Furtschellas,14
2,0,Davos Jakobshorn,10
3,0,Davos Klosters Parsenn,18
4,0,Flims Laax Falera,28
5,0,Obersaxen Mundaun,17
6,0,Samnaun,45
7,0,St. Moritz - Corviglia,23
8,8,Aletsch Arena / Riederalp - Bettmeralp - Fiesch-Eggishorn,36
9,0,Anzère,12
10,1,Belalp,11
11,0,Champéry / Portes du Soleil,197
12,0,Crans Montana - Aminona,27
13,1,Grächen,9
14,0,Grimentz - Zinal,21
15,0,Morgins / Portes du Soleil,197
16,0,Nendaz / 4 Vallées,82
17,7,Saas-Fee,22
18,1,St-Luc / Chandolin,15
19,0,Thyon / 4 Vallées,82
20,0,Verbier / 4 Vallées,82
21,0,Vercorin,9
22,0,Veysonnaz / 4 Vallées,82
23,13,Zermatt,52
24,0,Gstaad,47
25,0,Gstaad - Saanen - Rougemont,16
26,8,Jungfrau Ski Region Grindelwald - Wengen,27
27,11,Jungfrau Ski Region Mürren - Schilthorn,15
28,0,Lenk,55
29,12,Engelberg Titlis,28
30,4,Hoch-Ybrig,12
31,0,Klewenalp - Stockhütte,13
32,0,Melchsee - Frutt,14
33,0,Flumserberg,17
34,1,Pizol - Bad Ragaz - Wangs,11
35,0,Toggenburg,17
36,,EspaceDôle / La Dôle - Les Tuffes,21
37,2,Les Diablerets,26
38,0,Les Diablerets - Glacier 3000,10
39,1,Leysin - Les Mosses - La Lécherette,14
40,2,Villars - Gryon,26
