stichdatum;plz;geschlecht;vorname;anzahl;rang;ortbez18
2018-11-01;3272;m;Christian;17;4;Walperswil/Epsach
2018-11-01;3273;w;Susanne;16;2;Kappelen
2018-11-01;3273;w;Nicole;16;2;Kappelen
2018-11-01;3273;w;Sandra;15;4;Kappelen
2018-11-01;3273;w;Andrea;14;5;Kappelen
2018-11-01;3274;w;Christine;10;5;Hermrigen/Merzligen/Bühl BE
2018-11-01;3274;m;Thomas;18;4;Hermrigen/Merzligen/Bühl BE
2018-11-01;3274;m;Christian;15;5;Hermrigen/Merzligen/Bühl BE
2018-11-01;3280;w;Brigitte;43;5;Meyriez/Murten/Greng
2018-11-01;3280;m;Peter;89;1;Meyriez/Murten/Greng
2018-11-01;3282;w;Claudia;8;5;Bargen BE
2018-11-01;3282;w;Daniela;8;5;Bargen BE
2018-11-01;3282;m;Beat;16;1;Bargen BE
2018-11-01;3282;m;Michael;12;5;Bargen BE
2018-11-01;3284;w;n/a;4;2;Fräschels
2018-11-01;3284;m;Hans;8;2;Fräschels
2018-11-01;3284;m;Christian;8;2;Fräschels
2018-11-01;3286;w;Susanne;9;4;Muntelier
2018-11-01;3286;m;Peter;14;3;Muntelier
2018-11-01;3292;m;Martin;24;3;Busswil BE
2018-11-01;3293;w;Ruth;14;3;Dotzigen
2018-11-01;3295;w;Ursula;9;1;Rüti b. Büren
2018-11-01;3295;m;Daniel;11;2;Rüti b. Büren
2018-11-01;3296;m;Daniel;19;3;Arch
2018-11-01;3296;m;Markus;16;5;Arch
2018-11-01;3297;w;Elisabeth;13;1;Leuzigen
2018-11-01;3297;w;Marianne;11;4;Leuzigen
2018-11-01;3297;m;Peter;17;5;Leuzigen
2018-11-01;3298;w;Verena;9;2;Oberwil b. Büren
2018-11-01;3302;w;Ruth;30;2;Moosseedorf
2018-11-01;3302;w;Sandra;27;3;Moosseedorf
2018-11-01;3302;w;Elisabeth;25;5;Moosseedorf
2018-11-01;3302;m;Peter;61;1;Moosseedorf
2018-11-01;3303;w;Andrea;51;5;Jegenstorf/Zuzwil BE/Münchringen/Ballmoos
2018-11-01;3303;m;Thomas;80;3;Jegenstorf/Zuzwil BE/Münchringen/Ballmoos
2018-11-01;3305;m;Hans;7;2;Iffwil/Scheunen
2018-11-01;3306;w;Verena;6;1;Etzelkofen
2018-11-01;3306;w;n/a;5;2;Etzelkofen
2018-11-01;3307;w;n/a;3;1;Brunnenthal
2018-11-01;3307;m;n/a;3;3;Brunnenthal
2018-11-01;3308;w;Nicole;11;1;Grafenried
2018-11-01;3308;m;Peter;14;2;Grafenried
2018-11-01;3308;m;Daniel;13;4;Grafenried
2018-11-01;3309;w;Barbara;8;3;Kernenried/Zauggenried
2018-11-01;3309;m;Adrian;14;1;Kernenried/Zauggenried
2018-11-01;3309;m;Markus;14;1;Kernenried/Zauggenried
2018-11-01;3312;w;Ruth;23;2;Fraubrunnen
2018-11-01;3313;m;Hans;9;2;Büren zum Hof
2018-11-01;3314;w;Ursula;7;2;Schalunen
2018-11-01;3314;w;Verena;6;3;Schalunen
2018-11-01;3314;w;Elisabeth;6;3;Schalunen
2018-11-01;3314;m;Peter;11;1;Schalunen
2018-11-01;3317;w;Dora;8;1;Limpach/Mülchi
2018-11-01;3317;w;Ursula;7;2;Limpach/Mülchi
2018-11-01;3317;w;Ruth;6;5;Limpach/Mülchi
2018-11-01;3322;m;Daniel;88;1;Urtenen-Schönbühl/Mattstetten
2018-11-01;3323;w;Karin;9;5;Bäriswil BE
2018-11-01;3324;w;Elisabeth;25;1;Hindelbank/Mötschwil
2018-11-01;3325;w;Sandra;12;1;Hettiswil
2018-11-01;3326;w;Sandra;13;3;Krauchthal
2018-11-01;3326;m;Peter;24;2;Krauchthal
2018-11-01;3326;m;Fritz;24;2;Krauchthal
2018-11-01;3326;m;Thomas;21;4;Krauchthal
2018-11-01;3360;w;Monika;47;2;Herzogenbuchsee
2018-11-01;3360;w;Margrit;45;3;Herzogenbuchsee
2018-11-01;3360;w;Verena;45;3;Herzogenbuchsee
2018-11-01;3360;m;Hans;83;3;Herzogenbuchsee
2018-11-01;3362;w;Andrea;23;1;Niederönz
2018-11-01;3362;w;Sandra;20;2;Niederönz
2018-11-01;3362;w;Marianne;16;4;Niederönz
2018-11-01;3362;m;Peter;26;1;Niederönz
2018-11-01;3362;m;Markus;25;2;Niederönz
2018-11-01;3362;m;Daniel;20;5;Niederönz
2018-11-01;3363;w;Nicole;9;2;Oberönz
2018-11-01;3365;w;Marianne;17;2;Grasswil/Seeberg
2018-11-01;3365;m;Martin;15;5;Grasswil/Seeberg
2018-11-01;3366;w;Andrea;7;4;Bettenhausen/Bollodingen
2018-11-01;3366;m;Walter;11;4;Bettenhausen/Bollodingen
2018-11-01;3368;w;Christine;11;2;Bleienbach
2018-11-01;3368;m;Rudolf;14;5;Bleienbach
2018-11-01;3372;w;n/a;4;1;Wanzwil
2018-11-01;3372;m;n/a;5;1;Wanzwil
2018-11-01;3372;m;n/a;4;2;Wanzwil
2018-11-01;3373;w;Andrea;13;1;Röthenbach Hbsee/Heimenhausen
2018-11-01;3373;w;Ursula;8;5;Röthenbach Hbsee/Heimenhausen
2018-11-01;3373;m;Thomas;12;4;Röthenbach Hbsee/Heimenhausen
2018-11-01;3374;w;Christine;8;1;Wangenried
2018-11-01;3375;w;Marianne;11;1;Inkwil
2018-11-01;3375;w;Claudia;8;4;Inkwil
2018-11-01;3375;m;Hans;17;1;Inkwil
2018-11-01;3375;m;Andreas;9;4;Inkwil
2018-11-01;3376;m;Ernst;6;3;Graben/Berken
2018-11-01;3380;m;Andreas;30;5;Wangen an der Aare/Walliswil-Nbipp
2018-11-01;3400;m;Peter;210;1;Burgdorf
2018-11-01;3400;m;Thomas;203;2;Burgdorf
2018-11-01;3412;w;Elisabeth;10;4;Heimiswil
2018-11-01;3413;w;Vreni;8;1;Kaltacker
2018-11-01;3413;m;Hans;15;1;Kaltacker
2018-11-01;3415;w;Ruth;59;2;Schafhausen i. E./Hasle b. Burgdorf/Rüegsauschachen
2018-11-01;3415;m;Adrian;50;4;Schafhausen i. E./Hasle b. Burgdorf/Rüegsauschachen
2018-11-01;3416;w;Barbara;8;3;Affoltern BE
2018-11-01;3416;w;Monika;6;4;Affoltern BE
2018-11-01;3416;m;Daniel;13;3;Affoltern BE
2018-11-01;3416;m;Peter;12;5;Affoltern BE
2018-11-01;3417;w;Ursula;8;2;Rüegsau
2018-11-01;3417;m;Hans;13;1;Rüegsau
2018-11-01;3417;m;Peter;9;4;Rüegsau
2018-11-01;3418;w;Ruth;7;4;Rüegsbach
2018-11-01;3418;m;Fritz;21;1;Rüegsbach
2018-11-01;3419;w;Ruth;7;3;Biembach
2018-11-01;3419;m;Andreas;10;4;Biembach
2018-11-01;3421;w;Barbara;19;1;Lyssach/Rüti b. Lyssach
2018-11-01;3421;w;Elisabeth;15;5;Lyssach/Rüti b. Lyssach
2018-11-01;3422;w;Marianne;60;4;Alchenflüh/Kirchberg BE/Rüdtligen
2018-11-01;3422;m;Michael;83;3;Alchenflüh/Kirchberg BE/Rüdtligen
2018-11-01;3424;w;Christine;6;1;Niederösch/Oberösch
2018-11-01;3424;w;n/a;5;3;Niederösch/Oberösch
2018-11-01;3425;w;Ruth;23;3;Koppigen/Willadingen
2018-11-01;3425;w;Andrea;21;5;Koppigen/Willadingen
2018-11-01;3425;m;Peter;32;3;Koppigen/Willadingen
2018-11-01;3426;m;Markus;17;2;Aefligen
2018-11-01;3427;w;Ursula;42;1;Utzenstorf
2018-11-01;3427;w;Barbara;38;2;Utzenstorf
2018-11-01;3427;w;Marianne;37;4;Utzenstorf
2018-11-01;3427;w;Verena;36;5;Utzenstorf
2018-11-01;3427;m;Peter;60;3;Utzenstorf
2018-11-01;3428;m;Beat;12;5;Wiler b.Utzenstorf
2018-11-01;3428;m;Stefan;12;5;Wiler b.Utzenstorf
2018-11-01;3429;m;Daniel;7;5;Hellsau/Höchstetten
2018-11-01;3432;w;Marianne;30;2;Lützelflüh-Goldb
2018-11-01;3432;w;Sandra;30;2;Lützelflüh-Goldb
2018-11-01;3433;w;Barbara;7;2;Schwanden i. E.
2018-11-01;3433;w;Anna;7;2;Schwanden i. E.
2018-11-01;3433;m;Peter;15;1;Schwanden i. E.
2018-11-01;3435;m;n/a;5;2;Ramsei
2018-11-01;3435;m;n/a;3;5;Ramsei
2018-11-01;3436;w;Elisabeth;33;2;Zollbrück
2018-11-01;3436;m;Fritz;41;2;Zollbrück
2018-11-01;3436;m;Andreas;37;5;Zollbrück
2018-11-01;3437;w;Susanne;9;2;Rüderswil
2018-11-01;3437;w;Ruth;6;4;Rüderswil
2018-11-01;3437;w;Manuela;6;4;Rüderswil
2018-11-01;3438;m;Andreas;12;2;Lauperswil
2018-11-01;3438;m;Walter;9;3;Lauperswil
2018-11-01;3439;w;Ruth;14;1;Ranflüh
2018-11-01;3439;w;Elisabeth;11;2;Ranflüh
2018-11-01;3439;m;Simon;7;5;Ranflüh
2018-11-01;3452;w;Katharina;10;3;Grünenmatt
2018-11-01;3452;m;Hans;17;1;Grünenmatt
2018-11-01;3452;m;Markus;11;5;Grünenmatt
2018-11-01;3453;w;Therese;14;1;Heimisbach
2018-11-01;3453;w;Anna;8;5;Heimisbach
2018-11-01;3453;m;Martin;19;2;Heimisbach
2018-11-01;3454;w;Heidi;27;3;Sumiswald
2018-11-01;3455;m;Hans;12;1;Grünen
2018-11-01;3455;m;Fritz;11;2;Grünen
2018-11-01;3457;w;Margrit;19;4;Wasen im Emmental
2018-11-01;3457;m;Stefan;24;5;Wasen im Emmental
2018-11-01;3462;w;Ruth;10;1;Weier im Emmental
2018-11-01;3462;m;Martin;11;1;Weier im Emmental
2018-11-01;3463;m;Peter;9;1;Häusernmoos
2018-11-01;3463;m;Thomas;7;3;Häusernmoos
2018-11-01;3464;m;Markus;6;3;Schmidigen-Mühlew
2018-11-01;3465;w;Ruth;13;2;Dürrenroth
2018-11-01;3465;m;Hans;23;1;Dürrenroth
2018-11-01;3465;m;Thomas;12;4;Dürrenroth
2018-11-01;3465;m;Andreas;11;5;Dürrenroth
2018-11-01;3472;w;Ursula;24;2;Wynigen/Rumendingen
2018-11-01;3472;w;Elisabeth;23;3;Wynigen/Rumendingen
2018-11-01;3472;m;Fritz;26;5;Wynigen/Rumendingen
2018-11-01;3473;w;Ruth;7;3;Alchenstorf
2018-11-01;3473;w;Anita;7;3;Alchenstorf
2018-11-01;3473;w;Barbara;7;3;Alchenstorf
2018-11-01;3474;w;Sandra;6;1;Rüedisbach
2018-11-01;3474;w;Monika;6;1;Rüedisbach
2018-11-01;3474;w;n/a;5;5;Rüedisbach
2018-11-01;3474;m;Peter;8;2;Rüedisbach
2018-11-01;3475;w;Ruth;6;3;Riedtwil/Hermiswil
2018-11-01;3475;w;n/a;5;5;Riedtwil/Hermiswil
2018-11-01;3476;w;Nicole;10;1;Oschwand
2018-11-01;3476;w;Elisabeth;9;2;Oschwand
2018-11-01;3476;m;Walter;8;2;Oschwand
2018-11-01;3503;w;Elisabeth;8;1;Gysenstein
